year,region,trq_value,total_value,trq_share
1995,North America,0.0,113541.49333333333,0.0
1995,South America,0.0,71283.5703968254,0.0
1996,Eastern Europe,0.0,23194403.3,0.0
1996,Middle East,0.0,21011524.0,0.0
1996,North America,0.0,103904.355,0.0
1996,South America,0.0,64855.06555555556,0.0
1997,North America,0.0,91771.98409090909,0.0
1997,South America,0.0,58447.64642857143,0.0
1998,Eastern Europe,0.0,11380445.8,0.0
1998,North America,0.0,80980.74484848484,0.0
1998,South America,0.0,203556.74492063493,0.0
1999,North America,0.0,70532.9606060606,0.0
1999,South America,0.0,131960.62015873016,0.0
2000,North America,0.0,58952.84969696969,0.0
2000,South America,0.0,106481.23468253968,0.0
2000,Southern Africa,105.0,79037.2,0.0013284883573810814
2001,Central Asia,210.0,210.0,1.0
2001,Eastern Europe,9665.675,9675.675,0.9989664803747542
2001,Middle East,0.0,0.0,0.0
2001,North America,0.0,48161.19378787879,0.0
2001,South America,0.0,80936.16412698412,0.0
2001,Southern Africa,105.0,74849.0,0.0014028243530307687
2002,Central Asia,210.0,210.0,1.0
2002,Eastern Europe,6894.55,6904.55,0.9985516796894801
2002,Middle East,0.0,0.0,0.0
2002,North America,0.0,37160.899545454544,0.0
2002,South America,0.0,54073.55105879747,0.0
2002,Southern Africa,5.0,71118.5,7.030519485084753e-05
2003,Central America and the Caribbean,0.0,233142.9,0.0
2003,Central Asia,210.0,210.0,1.0
2003,Eastern Europe,4123.425,4133.425,0.9975806988151472
2003,North America,0.0,26369.243636363637,0.0
2003,South America,0.0,34468.172911532456,0.0
2003,South Asia,0.0,295206.0,0.0
2003,Southern Africa,3.35,63363.992,5.2869143724404236e-05
2004,Central America and the Caribbean,0.0,98034.0,0.0
2004,Central Asia,210.0,42778.0,0.004909065407452429
2004,Eastern Europe,1352.3,1362.3,0.9926594729501578
2004,North Africa,128531.0,128531.0,1.0
2004,North America,3288.92,237983.90606060607,0.013819926122073266
2004,South America,300.0,190138.6286554552,0.001577796169675871
2004,South Asia,162306.8,414980.3,0.39111928927710543
2004,Southeast Asia,0.0,44064.89,0.0
2004,Southern Africa,1.65,57018.913,2.893776666700047e-05
2005,Central America and the Caribbean,0.0,90250.0,0.0
2005,Central Asia,210.0,210.0,1.0
2005,East Asia ,59923.5,59923.5,1.0
2005,Eastern Europe,1327.3,1337.3,0.9925222463172063
2005,Middle East,0.0,75377.85,0.0
2005,North Africa,126628.75,157229.75,0.8053739829771401
2005,North America,121553.20498376623,161211.41680194804,0.753998739016711
2005,Oceania,0.0,134.82,0.0
2005,South America,124.0,53179.05860572715,0.0023317449246204923
2005,South Asia,228501.56666667,479467.56666667,0.4765735631614187
2005,Southeast Asia,0.0,127623.335,0.0
2005,Southern Africa,0.0,48602.3,0.0
2006,Central America and the Caribbean,0.0,193304.0,0.0
2006,Central Asia,210.0,210.0,1.0
2006,East Asia,0.0,35345321295.52,0.0
2006,East Asia ,78158.55,78158.55,1.0
2006,Eastern Europe,29604.0,29604.0,1.0
2006,Middle East,0.0,83759.7,0.0
2006,North Africa,124195.75,124195.75,1.0
2006,North America,108705.3233008658,147716.8442099567,0.7359033689235734
2006,Oceania,0.0,65.58,0.0
2006,South America,124.0,46412.753307910934,0.002671679466575936
2006,South Asia,169550.1999999978,1880586588.6374114,9.015814588087979e-05
2006,Southeast Asia,0.0,74213722.19346242,0.0
2006,Southern Africa,0.0,43409.055,0.0
2006,Western Europe,0.0,0.0,0.0
2007,Central America and the Caribbean,0.0,140465.7,0.0
2007,Central Asia,210.0,210.0,1.0
2007,East Africa,0.0,19445.6,0.0
2007,East Asia,0.0,17550521293.02,0.0
2007,East Asia ,111140.85,111140.85,1.0
2007,Eastern Europe,5385804.011795,13997154765.345352,0.000384778485491163
2007,Middle East,0.0,78183.55,0.0
2007,North Africa,303981.5,303981.5,1.0
2007,North America,95972.4249512987,134226.3549512987,0.7150043297094698
2007,Oceania,0.0,63.725,0.0
2007,South America,19026.627272727274,31773716.15624605,0.0005988165557709571
2007,South Asia,52912.25,1841512783.4979742,2.8733034315131165e-05
2007,Southeast Asia,38995.659237483,12838707.10520233,0.0030373509511469185
2007,Southern Africa,0.0,36451.505,0.0
2008,Central America and the Caribbean,140.0,296664.6680952381,0.0004719132915250153
2008,Central Asia,210.0,210.0,1.0
2008,East Africa,0.0,18957.2,0.0
2008,East Asia,4980.0,20171456870.915554,2.468835063262322e-07
2008,East Asia ,157157.825,235098.175,0.6684774350119903
2008,Eastern Europe,7286336.69114228,17870251040.03316,0.0004077355530607453
2008,Middle East,0.0,77241.4,0.0
2008,North Africa,296070.02166666667,296070.02166666667,1.0
2008,North America,83119.35993506493,120786.48993506494,0.6881511332910665
2008,Oceania,0.0,16199.160714286,0.0
2008,South America,104833.62727272727,239389.5553902075,0.43792063986186597
2008,South Asia,133516.0999999934,1813512853.8406084,7.362291351684474e-05
2008,Southeast Asia,191809.714269381,8998485.047984323,0.021315778516778967
2008,Southern Africa,0.0,33623.63,0.0
2009,Central America and the Caribbean,20099.20692312,528140.3547066858,0.03805656345704265
2009,Central Asia,210.0,210.0,1.0
2009,East Asia,2490.0,115324.880555582,0.021591177792722006
2009,East Asia ,137855.05,190414.45,0.7239736795185449
2009,Eastern Europe,5011942.1069634,4314736101.131221,0.0011615871723068738
2009,Middle East,0.0,84321.25,0.0
2009,North Africa,288921.67916666664,288921.67916666664,1.0
2009,North America,78281.80325216451,176213.0332521645,0.4442452513721935
2009,Oceania,0.0,71308.61642848686,0.0
2009,South America,8399.14090909091,347082.65564715833,0.024199252749838973
2009,South Asia,34495.2,402060.325,0.08579608047623201
2009,Southeast Asia,100726.401845148,746791.6569245012,0.1348788526373845
2009,Southern Africa,0.0,31367.78,0.0
2009,Western Europe,1163211.0,17144806.0,0.06784626201078041
2010,Central America and the Caribbean,21552.8869231,484157.7147581313,0.04451625217594041
2010,Central Asia,210.0,210.0,1.0
2010,East Asia,2490.0,180267.05298040234,0.013812840221394751
2010,East Asia ,133326.3,184297.15,0.7234311545240932
2010,Eastern Europe,295925.0,24601212.85,0.012028878486777533
2010,Middle East,0.0,71684.9,0.0
2010,North Africa,272845.11666666664,272845.11666666664,1.0
2010,North America,62836.2799025974,101417.80990259741,0.619578355743887
2010,Oceania,0.0,18053.816667266856,0.0
2010,South America,138581.94787878788,631690.3165492801,0.21938273272228748
2010,South Asia,74879.75,1509515.5781666667,0.049605152197861234
2010,Southeast Asia,207398.996420885,555827879.6925201,0.000373135288815697
2010,Southern Africa,0.0,28630.9,0.0
2011,Central America and the Caribbean,13276.05538466,356061.34775796416,0.03728586511357171
2011,Central Asia,210.0,210.0,1.0
2011,East Asia,7024.0,190771.72375819134,0.036818873686454305
2011,East Asia ,137993.825,238703.625,0.578096897355455
2011,Eastern Europe,26199.0,36375.8,0.7202315825356418
2011,Middle East,0.0,58087.05,0.0
2011,North Africa,255790.71666666667,255790.71666666667,1.0
2011,North America,58048.4565530303,126320.1665530303,0.45953435731626474
2011,Oceania,0.0,14242.084921063286,0.0
2011,South America,436058656.7215152,13541252647.183477,0.032202239193300446
2011,South Asia,45601.5,1833568.5591984848,0.024870354463284408
2011,Southeast Asia,119563.187329992,656592557.6313043,0.00018209647054380745
2011,Southern Africa,0.0,26417.4,0.0
2012,Central America and the Caribbean,130153.50717943333,586445.7345541357,0.22193614772965609
2012,Central Asia,210.0,210.0,1.0
2012,East Asia,4757.0,123078.847859461,0.03865002055781214
2012,East Asia ,774811650.8319442,56366923339.15313,0.013745856699859133
2012,Eastern Europe,18368.0,76935.435,0.23874564431851203
2012,Middle East,0.0,147979.1,0.0
2012,North Africa,235864.21666666667,235864.21666666667,1.0
2012,North America,52251.40939393939,220016.26939393938,0.23748884361084763
2012,Oceania,0.0,10007.148412724715,0.0
2012,South America,88878.8591991342,718154.4393388141,0.12376009160503501
2012,South Asia,43832.0,1368286.8129969698,0.03203421942216516
2012,Southeast Asia,92910.058239069,746495693.0834405,0.0001244616132415969
2013,Central America and the Caribbean,36258.58278387533,796749.3696085432,0.04550814116324912
2013,Central Asia,210.0,210.0,1.0
2013,East Africa,0.0,18805.0,0.0
2013,East Asia,4757.0,60054.415294117,0.07921149472028913
2013,East Asia ,724953465.1599327,50956108586.422874,0.014227017825162079
2013,Eastern Europe,18201.0,66663.14,0.27302944325754835
2013,Middle East,0.0,84675.6,0.0
2013,North Africa,215913.71666666667,215913.71666666667,1.0
2013,North America,43132.53515151515,132971.89515151514,0.3243733204100587
2013,Oceania,0.0,61177.202380867144,0.0
2013,South America,36101.61688311688,401160.1407058464,0.08999303076221786
2013,South Asia,38414.5,1285058.5736621213,0.02989318991937271
2013,Southeast Asia,83389.736376886,1080059.7969040885,0.07720844402867
2014,Central America and the Caribbean,27561.208388267332,500747.32628907904,0.05504015087312993
2014,Central Asia,210.0,210.0,1.0
2014,East Africa,0.0,12120.0,0.0
2014,East Asia,4757.0,189072.18806209433,0.02515970248589774
2014,East Asia ,654837186.3465867,48003980160.1,0.013641310244746643
2014,Eastern Europe,197544.0,19569762.135,0.010094348548401504
2014,Middle East,0.0,56061.6,0.0
2014,North Africa,198063.81666666668,198063.81666666668,1.0
2014,North America,29871.148902424244,57181.248902424246,0.5223941322687311
2014,Oceania,0.0,12039.356349193571,0.0
2014,South America,29834.52456709957,410014.08041161875,0.07276463417341249
2014,South Asia,34030.5,903879.0839939393,0.03764939426370019
2014,Southeast Asia,77666.087285969,20107951.397990495,0.003862456485434445
2014,Western Europe,1266806.0,17358005.0,0.0729810827914844
2015,Central America and the Caribbean,26633.483992680332,499450.75126333523,0.05332554596286479
2015,Central Asia,0.0,0.0,0.0
2015,East Africa,0.0,10795.0,0.0
2015,East Asia,5213.0,352232.85449673433,0.014799868704605269
2015,East Asia ,135133.6,192677.45,0.7013462135812987
2015,Eastern Europe,2100.0,196941.82724713333,0.010663047202079655
2015,Middle East,0.0,38162.8,0.0
2015,North Africa,178346.69166666668,178346.69166666668,1.0
2015,North America,28344.95,116380.7375,0.24355362071837705
2015,Oceania,5026.2,17142.088888876,0.29320814006871987
2015,South America,31793.687012987015,242670.23412310198,0.1310160149137149
2015,South Asia,32231.0,781341.4133257576,0.04125085327655891
2015,Southeast Asia,83749.349491806,915826.8253215097,0.09144670933001443
2016,Central America and the Caribbean,25724.239597080334,495371.5025279153,0.05192918741955835
2016,Central Asia,0.0,52090.22878801805,0.0
2016,East Africa,0.0,10795.0,0.0
2016,East Asia,4985.0,187438.318598016,0.026595415693473713
2016,East Asia ,122462.35,196461.8984848485,0.6233389321005901
2016,Eastern Europe,3541.0,262638.9804035049,0.013482385571859101
2016,Middle Africa,0.0,12536.25,0.0
2016,Middle East,60462.4757578484,91225.4757578484,0.6627806021899166
2016,North Africa,168580.46666666667,168580.46666666667,1.0
2016,North America,6098.6,71505.44,0.08528861580321721
2016,Oceania,2158.9,8711.0,0.24783606933761912
2016,South America,23397.370887445886,947695.26693681,0.02468870712320015
2016,South Asia,30952.0,834253.7736575757,0.03710142042786183
2016,Southeast Asia,28314.504697651,775119.7854523748,0.03652919874974693
2016,West Africa,0.0,47990.0,0.0
2017,Central America and the Caribbean,24763.475201469333,409085.51717907167,0.06053373722988452
2017,Central Asia,0.0,49508.03181806265,0.0
2017,East Africa,0.0,10670.0,0.0
2017,East Asia,4985.0,154792.07158824068,0.032204491798911376
2017,East Asia ,119636.375,191423.67196969697,0.6249821339700288
2017,Eastern Europe,3686.0,237144.03780114872,0.01554329610888554
2017,Middle Africa,0.0,92.5,0.0
2017,Middle East,28346.26818171475,55995.26818171475,0.5062261348535021
2017,North Africa,159525.84166666667,257687.02916666667,0.6190681858631256
2017,North America,8539.4,64536.04416666667,0.13231985490072323
2017,Oceania,1585.0,4646.4,0.3411243112947659
2017,South America,19503.620146520145,706841.3972768247,0.02759263990714146
2017,South Asia,29152.5,675514.9029893939,0.04315596868550169
2017,Southeast Asia,22191.945757568,610472.994736012,0.03635205152222091
2017,West Africa,0.0,47990.0,0.0
2017,Western Europe,3779.0,3779.0,1.0
2018,Central America and the Caribbean,23569.410805866333,361961.87519355735,0.06511572743196423
2018,Central Asia,0.0,46184.90151510735,0.0
2018,East Africa,0.0,8285.0,0.0
2018,East Asia,25455.24,142601.37707843434,0.1785062705670716
2018,East Asia ,117322.3,186886.54545454544,0.6277728539240143
2018,Eastern Europe,3686.0,219158.73428377585,0.016818859681983808
2018,Middle Africa,0.0,91.25,0.0
2018,Middle East,25776.96515147735,41981.96515147735,0.614000918215003
2018,North Africa,159115.34166666667,250626.55,0.6348702548340017
2018,North America,6601.8,253764.3798611111,0.02601547153155719
2018,Oceania,889.0,2589.1,0.3433625584179831
2018,South America,17715.205769230768,904171.746825557,0.019592744223016056
2018,South Asia,28427.0,694759.9146545455,0.04091629266512119
2018,Southeast Asia,17490.47,567895.9268039216,0.030798724157849025
2018,West Africa,0.0,47990.0,0.0
2018,Western Europe,1202.0,12338.7,0.09741706986959728
2019,Central America and the Caribbean,22755.046410255334,323596.1399803643,0.07031927640309957
2019,Central Asia,0.0,42486.44090905735,0.0
2019,East Africa,0.0,8285.0,0.0
2019,East Asia,14718.44,104421.042568637,0.14095281600282264
2019,East Asia ,115856.3,183876.74393939393,0.6300758732065999
2019,Eastern Europe,3686.0,178847.29738280876,0.020609760694959806
2019,Middle Africa,0.0,90.0,0.0
2019,Middle East,22799.85757572511,22799.85757572511,1.0
2019,North Africa,158699.84166666667,243561.07083333333,0.6515813102795215
2019,North America,6349.3,46908.6975,0.13535442974088122
2019,Oceania,193.0,945.8,0.2040600549799112
2019,South America,13603.66282051282,360270.46658476366,0.037759583652445125
2019,South Asia,27718.0,670665.5406530303,0.04132909523428153
2019,Southeast Asia,16407.37,677322.6937401961,0.024223859840570253
2019,West Africa,0.0,41695.0,0.0
2020,Central America and the Caribbean,21886.22487179933,289553.36654267745,0.07558615233221096
2020,Central Asia,0.0,38442.66818184705,0.0
2020,East Africa,0.0,5270.0,0.0
2020,East Asia,11720.86,91502.61139214467,0.1280931748468789
2020,East Asia ,114846.7,181641.64242424243,0.6322707638359926
2020,Eastern Europe,3686.0,165133.72735028138,0.022321303219791457
2020,Middle Africa,0.0,81.0,0.0
2020,Middle East,19640.00909093565,19640.00909093565,1.0
2020,North Africa,103977.99166666667,182189.24166666667,0.5707142239326334
2020,North America,6256.6,42666.833333333336,0.14663848969339963
2020,Oceania,1842.8,2212.7999999999997,0.8327910339840926
2020,South America,32613364.494871795,49138207.12426842,0.6637068465358126
2020,South Asia,27270.0,509927.7149848485,0.053478167980750516
2020,Southeast Asia,16309.94,491856.7014754902,0.033159942623680494
2020,West Africa,0.0,35760.0,0.0
2021,Central America and the Caribbean,21018.203333333335,238336.0153690646,0.08818727333670714
2021,Central Asia,0.0,35459.9863635842,0.0
2021,East Africa,4328.0,87341.75,0.049552476335772984
2021,East Asia,12122.28,109292.05021569034,0.1109163930594806
2021,East Asia ,115182.3,192795.57424242425,0.5974322826268197
2021,Eastern Europe,3686.0,154971.7730655123,0.02378497662565809
2021,Middle Africa,0.0,72.0,0.0
2021,Middle East,22491.1090908566,22491.1090908566,1.0
2021,North Africa,7472.0,216734.5575,0.034475351260031525
2021,North America,6888.4,43763.1025,0.15740200320578276
2021,Oceania,544.8,544.8,1.0
2021,South America,122235.42692307693,384580.491805401,0.3178409449456122
2021,South Asia,28917.0,697596.0833333334,0.041452354293369145
2021,Southeast Asia,14364.94,454254.8519607843,0.031623085450807956
2021,Southern Africa,0.0,24235.35,0.0
2021,West Africa,0.0,28925.0,0.0
2021,Western Europe,3216.2166666666667,50010.660746753245,0.06431062134837856
2022,Central America and the Caribbean,20049.11666666667,209215.00423318794,0.09583020462681645
2022,Central Asia,0.0,32540.96818179785,0.0
2022,East Africa,4047.0,82959.5,0.04878283981942996
2022,East Asia,11158.7,86089.855705883,0.1296168974672525
2022,East Asia ,100825.25,174661.7893939394,0.577259916721651
2022,Eastern Europe,3686.0,145934.83360224598,0.025257849061906708
2022,Middle Africa,0.0,63.0,0.0
2022,Middle East,15345379.481818162,15345379.481818162,1.0
2022,North Africa,102.0,67553.625,0.0015099115702525217
2022,North America,6008.0,35591.49333333333,0.16880438097193262
2022,Oceania,74.1,74.1,1.0
2022,South America,109088.75897435898,318023.3078945372,0.3430212700338774
2022,South Asia,28602.0,654996.1333333333,0.04366743335482286
2022,Southeast Asia,14347.34,442417.21027941175,0.032429434630128505
2022,West Africa,0.0,22320.0,0.0
2022,Western Europe,219.15833333333333,6356.302777777778,0.03447890086349113
2023,Central America and the Caribbean,18804.9,188208.02855120317,0.0999155038430468
2023,Central Asia,0.0,29657.47727277665,0.0
2023,East Africa,3763.0,79464.25,0.04735462802455192
2023,East Asia,2950.0,68327.80019607766,0.04317422764284081
2023,East Asia ,74798.3,147847.72121212122,0.5059144597344507
2023,Eastern Europe,3686.0,124762.77750004934,0.02954406814162615
2023,Middle Africa,0.0,54.0,0.0
2023,Middle East,17105.30909095571,17105.30909095571,1.0
2023,North Africa,102.0,62173.8125,0.0016405620935663226
2023,North America,6005.8,32893.729166666664,0.1825819130926044
2023,Oceania,0.0,0.0,0.0
2023,South America,93541.24102564102,251782.89058303687,0.3715154783116271
2023,South Asia,4971.5,244470.10833333334,0.020335819515494277
2023,Southeast Asia,13549.91,339076.7800147059,0.039961185190600004
2023,Western Europe,137.98333333333332,3694.3722222222223,0.03734960232305293
2024,Central America and the Caribbean,17850.233333333334,179924.92285263175,0.09920934270986817
2024,Central Asia,0.0,26672.049999960625,0.0
2024,East Africa,3479.0,78159.0,0.044511828452257575
2024,East Asia,2950.0,61378.28068627433,0.048062604019139483
2024,East Asia ,42580.2,86460.10303030303,0.4924837989734554
2024,Eastern Europe,3686.0,18449.768181778843,0.19978570807411697
2024,Middle Africa,0.0,45.0,0.0
2024,Middle East,13566.954545417126,13566.954545417126,1.0
2024,North Africa,102.0,56794.0,0.0017959643624326513
2024,North America,5275.5,19456.965,0.2711368396869707
2024,South America,80211.18974358974,188512.52333883982,0.42549528446667173
2024,South Asia,4943.5,243312.00833333333,0.020317533992105678
2024,Southeast Asia,2582.43,295714.777,0.008732840564135893
2024,Western Europe,65.375,1957.2583333333334,0.03340131391274359
2025,Central America and the Caribbean,14348.866666666667,150690.7034345365,0.09522064957975424
2025,Central Asia,0.0,23774.35,0.0
2025,East Africa,3190.0,76758.75,0.04155877994365463
2025,East Asia,2950.0,51361.211176468,0.057436340234741035
2025,East Asia ,24158.85,55739.318181818184,0.4334256461694658
2025,Eastern Europe,1441.0,12573.386363636364,0.11460715183043549
2025,Middle Africa,0.0,36.0,0.0
2025,Middle East,10028.6,10028.6,1.0
2025,North Africa,102.0,53476.5,0.0019073798771422961
2025,North America,1570.0,14298.5225,0.10980155467112075
2025,South America,68447.97179487179,146867.52527400703,0.4660524623613705
2025,South Asia,4922.5,242183.70833333334,0.02032547950428127
2025,Southeast Asia,2565.0,241226.57666666666,0.01063315674186425
2025,Western Europe,21.0,301.0,0.06976744186046512
